Short,Long,Population
AC,Acre,881935
AL,Alagoas,3337357
AM,Amazonas,4144597
AP,Amapá,845731
BA,Bahia,14873064
CE,Ceará,9132078
DF,Distrito Federal,3015268
ES,Espírito Santo,4018650
GO,Goiás,7018354
MA,Maranhão,7075181
MG,Minas Gerais,21168791
MS,Mato Grosso do Sul,2778986
MT,Mato Grosso,3484466
PA,Pará,8602865
PB,Paraíba,4018127
PE,Pernambuco,9557071
PI,Piauí,3273227
PR,Paraná,11433957
RJ,Rio de Janeiro,17264943
RN,Rio Grande do Norte,3506853
RO,Rondônia,1777225
RR,Roraima,605761
RS,Rio Grande do Sul,11377239
SC,Santa Catarina,7164788
SE,Sergipe,2298696
SP,São Paulo,45919049
TO,Tocantins,1572866
