Chinese name	English name	Population in millions
黑龙江	Heilongjiang	37.5130
香港	Hong Kong	7.061200
台湾	Taiwan	23.162123
陕西	Shaanxi	38.7621
内蒙古	Inner Mongolia	25.3960
上海	Shanghai	24.2814
北京	Beijing	21.5360
吉林	Jilin	26.9073
广东	Guangdong	115.2100
山东	Shandong	100.7021
澳门	Macao	0.552300
山西	Shanxi	38.7621
江苏	Jiangsu	80.7000
河北	Hebei	75.9197
云南	Yunnan	48.5830
福建	Fujian	39.7300
天津	Tianjin	15.6183
湖北	Hubei	59.2700
河南	Henan	96.4000
浙江	Zhejiang	58.5000
湖南	Hunan	69.1838
安徽	Anhui	63.6590
江西	Jiangxi	46.6610
重庆	Chongqing	31.2432
四川	Sichuan	83.7500
广西	Guangxi	49.6000
海南	Hainan	9.4472
贵州	Guizhou	36.2295
辽宁	Liaoning	43.5170
甘肃	Gansu	26.4743
新疆	Xinjiang	25.2322
宁夏	Ningxia	6.9466
青海	Qinghai	6.0782
西藏	Tibet	3.5056
